period,operator,operatorLabel,category,product,aidfee,fixcosts,charge,gridusage,energy,total
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,H5,standard,2.3,1.28,0.16,5.998362,6.952562,15.41
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,C5,standard,2.3,2.952,0.16,4.074167,6.443267,12.97
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,H8,standard,2.3,1.28,0.65,6.6089525,7.162452,16.72
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,H3,standard,2.3,2.1333334,0.16,6.4365077,7.2398415,16.14
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,C2,standard,2.3,0.32,0.16,6.8568,7.0939,16.41
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,H1,standard,2.3,6,0.65,9.58381,8.940997,21.47
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,H2,standard,2.3,3.84,0.16,8.177714,8.111714,18.75
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,C6,standard,2.3,2.544,0.05,3.672611,6.4767776,12.5
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,H2,standard,2.3,3.84,0.65,8.177714,8.111714,19.24
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,C7,standard,2.3,2.04384,0.5,3.138262,6.2989945,12.24
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,C4,standard,2.3,3.384,0.65,4.7886,6.443267,14.18
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,H3,standard,2.3,2.1333334,0.65,6.4365077,7.2398415,16.63
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,H6,standard,2.3,0.384,0.65,4.7815084,6.3907685,14.12
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,C6,standard,2.3,2.544,0.54,3.672611,6.4767776,12.99
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,C4,standard,2.3,3.384,0.16,4.7886,6.443267,13.69
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,H7,standard,2.3,1.2,0.16,5.8705935,6.8194175,15.15
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,C2,standard,2.3,0.32,0.65,6.8568,7.0939,16.9
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,H4,standard,2.3,2.1333334,0.16,7.1420317,7.482365,17.08
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,H5,standard,2.3,1.28,0.65,5.998362,6.952562,15.9
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,C1,standard,2.3,1.2,0.65,7.46,7.4421873,17.85
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,C3,standard,2.3,4.08,0.65,5.522,6.6053333,15.08
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,H1,standard,2.3,6,0.16,9.58381,8.940997,20.98
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,H7,standard,2.3,1.2,0.65,5.8705935,6.8194175,15.64
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,C5,standard,2.3,2.952,0.65,4.074167,6.443267,13.46
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,H6,standard,2.3,0.384,0.16,4.7815084,6.3907685,13.63
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,H4,standard,2.3,2.1333334,0.65,7.1420317,7.482365,17.57
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,H8,standard,2.3,1.28,0.16,6.6089525,7.162452,16.23
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,C1,standard,2.3,1.2,0.16,7.46,7.4421873,17.36
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,C7,standard,2.3,2.04384,0.01,3.138262,6.2989945,11.75
2022,486,Elektrizitätswerke des Kantons Zürich EKZ,C3,standard,2.3,4.08,0.16,5.522,6.6053333,14.59
2022,290,Elektrizitätsversorgung Benken,H4,standard,2.3,1.3333334,0.5,6.1433334,6.25,15.19
2022,290,Elektrizitätsversorgung Benken,H8,standard,2.3,0.8,0.5,5.61,6.25,14.66
2022,290,Elektrizitätsversorgung Benken,H1,standard,2.3,3.75,0.5,8.56,6.25,17.61
2022,290,Elektrizitätsversorgung Benken,H6,standard,2.3,0.24,0.5,5.05,6.25,14.1
2022,290,Elektrizitätsversorgung Benken,H5,standard,2.3,0.8,0.5,5.61,6.25,14.66
2022,290,Elektrizitätsversorgung Benken,C3,cheapest,2.3,0.04,0.5,4.85,6.25,13.9
2022,290,Elektrizitätsversorgung Benken,H5,cheapest,2.3,0.8,0.5,5.61,6.25,14.66
2022,290,Elektrizitätsversorgung Benken,H3,standard,2.3,1.3333334,0.5,6.1433334,6.25,15.19
2022,290,Elektrizitätsversorgung Benken,C4,cheapest,2.3,0.012,0.5,4.822,6.25,13.87
2022,290,Elektrizitätsversorgung Benken,H2,cheapest,2.3,2.4,0.5,7.21,6.25,16.26
2022,290,Elektrizitätsversorgung Benken,C3,standard,2.3,0.04,0.5,4.85,6.25,13.9
2022,290,Elektrizitätsversorgung Benken,C2,cheapest,2.3,0.2,0.5,5.01,6.25,14.06
2022,290,Elektrizitätsversorgung Benken,H7,cheapest,2.3,0.46153846,0.5,5.2715383,6.25,14.32
2022,290,Elektrizitätsversorgung Benken,C1,standard,2.3,0.75,0.5,5.56,6.25,14.61
2022,290,Elektrizitätsversorgung Benken,C2,standard,2.3,0.2,0.5,5.01,6.25,14.06
2022,290,Elektrizitätsversorgung Benken,H4,cheapest,2.3,1.3333334,0.5,6.1433334,6.25,15.19
2022,290,Elektrizitätsversorgung Benken,H1,cheapest,2.3,3.75,0.5,8.56,6.25,17.61
2022,290,Elektrizitätsversorgung Benken,H7,standard,2.3,0.46153846,0.5,5.2715383,6.25,14.32
2022,290,Elektrizitätsversorgung Benken,C1,cheapest,2.3,0.75,0.5,5.56,6.25,14.61
2022,290,Elektrizitätsversorgung Benken,H6,cheapest,2.3,0.24,0.5,5.05,6.25,14.1
2022,290,Elektrizitätsversorgung Benken,H3,cheapest,2.3,1.3333334,0.5,6.1433334,6.25,15.19
2022,290,Elektrizitätsversorgung Benken,C4,standard,2.3,0.012,0.5,4.822,6.25,13.87
2022,290,Elektrizitätsversorgung Benken,H8,cheapest,2.3,0.8,0.5,5.61,6.25,14.66
2022,290,Elektrizitätsversorgung Benken,H2,standard,2.3,2.4,0.5,7.21,6.25,16.26
2022,367,Elektrizitätswerk Andelfingen,H4,standard,2.3,1.2,0,3.6183174,6.7679367,12.69
2022,367,Elektrizitätswerk Andelfingen,H1,standard,2.3,3.375,0,5.81372,6.783631,14.89
2022,367,Elektrizitätswerk Andelfingen,C3,standard,2.3,2.2,0,3.4693334,5.5146666,11.28
2022,367,Elektrizitätswerk Andelfingen,H3,standard,2.3,1.2,0,3.0450795,6.326984,11.68
2022,367,Elektrizitätswerk Andelfingen,H8,standard,2.3,0.72,0,3.1385238,6.768095,12.21
2022,367,Elektrizitätswerk Andelfingen,C1,standard,2.3,0.675,0,3.825625,7.33125,13.46
2022,367,Elektrizitätswerk Andelfingen,H7,standard,2.3,0.6923077,0,2.5632088,6.0370054,10.9
2022,367,Elektrizitätswerk Andelfingen,H2,standard,2.3,2.16,0,4.553143,6.7485714,13.6
2022,367,Elektrizitätswerk Andelfingen,H6,standard,2.3,0.216,0,1.6047257,5.975943,9.88
2022,367,Elektrizitätswerk Andelfingen,C4,standard,2.3,1.86,0,3.0794666,5.3027334,10.68
2022,367,Elektrizitätswerk Andelfingen,H5,standard,2.3,0.72,0,2.642419,6.386476,11.33
2022,367,Elektrizitätswerk Andelfingen,C2,standard,2.3,0.18,0,3.2874,7.298,12.89
2022,285,Elektrizitätsgenossenschaft Marthalen,C5,standard,2.3,3.132,0,5.0603867,6.13,13.49
2022,285,Elektrizitätsgenossenschaft Marthalen,C2,standard,2.3,0.38,0,8.29922,6.25,16.85
2022,285,Elektrizitätsgenossenschaft Marthalen,H4,standard,2.3,2.5333333,0,8.24067,6.93,17.47
2022,285,Elektrizitätsgenossenschaft Marthalen,H1,standard,2.3,7.125,0,11.427693,8.38,22.11
2022,285,Elektrizitätsgenossenschaft Marthalen,C1,standard,2.3,1.425,0,9.110312,6.58,17.99
2022,285,Elektrizitätsgenossenschaft Marthalen,H7,standard,2.3,0.8769231,0,6.3723803,6.4069233,15.08
2022,285,Elektrizitätsgenossenschaft Marthalen,H2,standard,2.3,4.56,0,9.571371,7.57,19.44
2022,285,Elektrizitätsgenossenschaft Marthalen,C4,standard,2.3,3.1129,0,5.57372,6.13,14
2022,285,Elektrizitätsgenossenschaft Marthalen,H5,standard,2.3,1.52,0,6.4449162,6.61,15.35
2022,285,Elektrizitätsgenossenschaft Marthalen,C3,standard,2.3,3.6763334,0,6.200733,6.13,14.63
2022,285,Elektrizitätsgenossenschaft Marthalen,H6,standard,2.3,0.456,0,4.5304747,6.274,13.1
2022,285,Elektrizitätsgenossenschaft Marthalen,H8,standard,2.3,1.52,0,7.5477953,6.61,16.46
2022,285,Elektrizitätsgenossenschaft Marthalen,H3,standard,2.3,2.5333333,0,6.9663177,6.93,16.2
2022,587,Gemeindewerke Dietlikon,H3,standard,2.3,2.4533334,0,8.443095,7.836746,18.58
2022,587,Gemeindewerke Dietlikon,C1,standard,2.3,0.78,0,10.943984,7.375182,20.62
2022,587,Gemeindewerke Dietlikon,H1,standard,2.3,3.9,0,12.779465,7.7709823,22.85
2022,587,Gemeindewerke Dietlikon,H4,standard,2.3,1.3866667,0,10.202381,7.095873,19.6
2022,587,Gemeindewerke Dietlikon,C4,standard,2.3,0.25656,0,3.7595084,6.4516835,12.51
2022,587,Gemeindewerke Dietlikon,H5,standard,2.3,1.472,0,8.124572,7.366667,17.79
2022,587,Gemeindewerke Dietlikon,C2,standard,2.3,0.208,0,10.364688,7.3442016,20
2022,587,Gemeindewerke Dietlikon,H7,standard,2.3,0.48,0,8.276126,6.66133,17.24
2022,587,Gemeindewerke Dietlikon,C3,standard,2.3,0.43724668,0,4.232708,6.677875,13.21
2022,587,Gemeindewerke Dietlikon,H6,standard,2.3,0.2496,0,5.9023714,6.487703,14.69
2022,587,Gemeindewerke Dietlikon,C5,standard,2.3,0.1333,0,2.78962,6.468379,11.56
2022,587,Gemeindewerke Dietlikon,H2,standard,2.3,2.496,0,11.237572,7.1167855,20.66
2022,587,Gemeindewerke Dietlikon,H8,standard,2.3,0.85866666,0,9.307363,7.095992,18.71
2022,587,Gemeindewerke Dietlikon,C6,standard,2.3,0.044964667,0,2.756538,6.539896,11.6
2022,634,Genossenschaft Licht- und Kraftwerke Glattfelden,H1,cheapest,2.3,9.75,0,17.040522,9.27,28.61
2022,634,Genossenschaft Licht- und Kraftwerke Glattfelden,H5,cheapest,2.3,2.08,0,9.632334,7.5,19.43
