period,operator,operatorLabel,category,product,aidfee,fixcosts,charge,gridusage,energy,total
2016,486,Elektrizitätswerke des Kantons Zürich EKZ,H5,cheapest,1.3,0.8,0.16,6.2142076,6.184069,13.85
2016,486,Elektrizitätswerke des Kantons Zürich EKZ,H6,cheapest,1.3,0.24,0.16,4.594262,5.8158207,11.87
2016,486,Elektrizitätswerke des Kantons Zürich EKZ,H1,cheapest,1.3,3.75,0.16,9.996951,6.540317,18
2016,486,Elektrizitätswerke des Kantons Zürich EKZ,C4,cheapest,1.3,3.024,0.16,5.50724,5.852028,12.82
2016,486,Elektrizitätswerke des Kantons Zürich EKZ,C7,cheapest,1.3,2.04384,0.01,4.0177946,5.8584113,11.19
2016,486,Elektrizitätswerke des Kantons Zürich EKZ,C6,cheapest,1.3,2.544,0.05,4.57672,6.085928,12.02
2016,486,Elektrizitätswerke des Kantons Zürich EKZ,H7,cheapest,1.3,0.9230769,0.16,6.15172,6.108234,13.72
2016,486,Elektrizitätswerke des Kantons Zürich EKZ,C2,cheapest,1.3,0.2,0.16,8.115118,7.001706,16.58
2016,486,Elektrizitätswerke des Kantons Zürich EKZ,C5,cheapest,1.3,2.952,0.16,4.953552,6.106464,12.52
2016,486,Elektrizitätswerke des Kantons Zürich EKZ,H3,cheapest,1.3,1.3333334,0.16,6.5447807,6.130705,14.13
2016,486,Elektrizitätswerke des Kantons Zürich EKZ,H8,cheapest,1.3,0.8,0.16,7.241144,6.5263815,15.23
2016,486,Elektrizitätswerke des Kantons Zürich EKZ,C3,cheapest,1.3,3.68,0.16,6.2828,6.0003166,13.74
2016,486,Elektrizitätswerke des Kantons Zürich EKZ,H4,cheapest,1.3,1.3333334,0.16,7.731384,6.526239,15.72
2016,486,Elektrizitätswerke des Kantons Zürich EKZ,C1,cheapest,1.3,0.75,0.16,8.710594,7.0315313,17.2
2016,486,Elektrizitätswerke des Kantons Zürich EKZ,H2,cheapest,1.3,2.4,0.16,8.660605,6.5088687,16.63
2016,290,Elektrizitätsversorgung Benken,C2,cheapest,1.3,0.2,0.5,5.3,5.5,12.6
2016,290,Elektrizitätsversorgung Benken,H4,cheapest,1.3,1.3333334,0.5,6.4333334,5.5,13.73
2016,290,Elektrizitätsversorgung Benken,C3,cheapest,1.3,0.04,0.5,5.14,5.5,12.44
2016,290,Elektrizitätsversorgung Benken,H2,cheapest,1.3,2.4,0.5,7.5,5.5,14.8
2016,290,Elektrizitätsversorgung Benken,H7,cheapest,1.3,0.46153846,0.5,5.5615387,5.5,12.86
2016,290,Elektrizitätsversorgung Benken,H3,cheapest,1.3,1.3333334,0.5,6.4333334,5.5,13.73
2016,290,Elektrizitätsversorgung Benken,H8,cheapest,1.3,0.8,0.5,5.9,5.5,13.2
2016,290,Elektrizitätsversorgung Benken,C4,cheapest,1.3,0.012,0.5,5.112,5.5,12.41
2016,290,Elektrizitätsversorgung Benken,C1,cheapest,1.3,0.75,0.5,5.85,5.5,13.15
2016,290,Elektrizitätsversorgung Benken,H1,cheapest,1.3,3.75,0.5,8.85,5.5,16.15
2016,290,Elektrizitätsversorgung Benken,H6,cheapest,1.3,0.24,0.5,5.34,5.5,12.64
