period,operator,operatorLabel,category,product,aidfee,fixcosts,charge,gridusage,energy,total
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,C1,standard,2.3,1.2,0.16,6.7482815,6.305594,15.52
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,C7,standard,2.3,2.04384,0.01,3.1249406,5.367799,10.8
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,H1,standard,2.3,6,0.65,8.513257,7.697094,19.16
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,H2,standard,2.3,3.84,0.65,7.2075543,6.93496,17.09
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,C3,standard,2.3,3.68,0.16,4.7946134,5.382613,12.63
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,C1,standard,2.3,1.2,0.65,6.7482815,6.305594,16.01
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,H4,standard,2.3,2.1333334,0.65,6.2614074,6.355513,15.57
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,C3,standard,2.3,3.68,0.65,4.7946134,5.382613,13.12
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,H8,standard,2.3,1.28,0.65,5.771029,6.06119,14.78
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,H1,standard,2.3,6,0.16,8.513257,7.697094,18.67
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,H7,standard,2.3,1.4769231,0.16,4.9865327,5.9278555,13.38
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,H8,standard,2.3,1.28,0.16,5.771029,6.06119,14.29
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,C6,standard,2.3,2.544,0.54,3.64448,5.512213,11.99
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,C4,standard,2.3,3.024,0.16,4.1509504,5.2564507,11.87
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,C5,standard,2.3,2.952,0.65,4.028736,5.484992,12.46
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,C7,standard,2.3,2.04384,0.5,3.1249406,5.367799,11.29
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,C5,standard,2.3,2.952,0.16,4.028736,5.484992,11.97
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,H6,standard,2.3,0.384,0.65,3.8164883,5.3694606,12.14
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,H7,standard,2.3,1.4769231,0.65,4.9865327,5.9278555,13.87
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,H2,standard,2.3,3.84,0.16,7.2075543,6.93496,16.6
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,H5,standard,2.3,1.28,0.16,5.077627,5.876868,13.42
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,C2,standard,2.3,0.32,0.65,6.181866,5.985934,15.12
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,H5,standard,2.3,1.28,0.65,5.077627,5.876868,13.91
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,H3,standard,2.3,2.1333334,0.65,5.460197,6.1425333,14.55
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,C4,standard,2.3,3.024,0.65,4.1509504,5.2564507,12.36
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,H6,standard,2.3,0.384,0.16,3.8164883,5.3694606,11.65
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,H4,standard,2.3,2.1333334,0.16,6.2614074,6.355513,15.08
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,C6,standard,2.3,2.544,0.05,3.64448,5.512213,11.5
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,H3,standard,2.3,2.1333334,0.16,5.460197,6.1425333,14.06
2019,486,Elektrizitätswerke des Kantons Zürich EKZ,C2,standard,2.3,0.32,0.16,6.181866,5.985934,14.63
2019,290,Elektrizitätsversorgung Benken,C2,cheapest,2.3,0.2,0.5,5.09,4.85,12.74
2019,290,Elektrizitätsversorgung Benken,H2,cheapest,2.3,2.4,0.5,7.29,4.85,14.94
2019,290,Elektrizitätsversorgung Benken,H3,cheapest,2.3,1.3333334,0.5,6.2233334,4.85,13.87
2019,290,Elektrizitätsversorgung Benken,C3,cheapest,2.3,0.04,0.5,4.93,4.85,12.58
2019,290,Elektrizitätsversorgung Benken,C3,standard,2.3,0.04,0.5,4.93,4.85,12.58
2019,290,Elektrizitätsversorgung Benken,H8,standard,2.3,0.8,0.5,5.69,4.85,13.34
2019,290,Elektrizitätsversorgung Benken,H4,standard,2.3,1.3333334,0.5,6.2233334,4.85,13.87
2019,290,Elektrizitätsversorgung Benken,H3,standard,2.3,1.3333334,0.5,6.2233334,4.85,13.87
2019,290,Elektrizitätsversorgung Benken,C4,cheapest,2.3,0.012,0.5,4.902,4.85,12.55
2019,290,Elektrizitätsversorgung Benken,H5,cheapest,2.3,0.8,0.5,5.69,4.85,13.34
2019,290,Elektrizitätsversorgung Benken,H7,cheapest,2.3,0.46153846,0.5,5.3515387,4.85,13
2019,290,Elektrizitätsversorgung Benken,C2,standard,2.3,0.2,0.5,5.09,4.85,12.74
2019,290,Elektrizitätsversorgung Benken,H4,cheapest,2.3,1.3333334,0.5,6.2233334,4.85,13.87
2019,290,Elektrizitätsversorgung Benken,H2,standard,2.3,2.4,0.5,7.29,4.85,14.94
2019,290,Elektrizitätsversorgung Benken,H8,cheapest,2.3,0.8,0.5,5.69,4.85,13.34
2019,290,Elektrizitätsversorgung Benken,H6,cheapest,2.3,0.24,0.5,5.13,4.85,12.78
2019,290,Elektrizitätsversorgung Benken,H1,standard,2.3,3.75,0.5,8.64,4.85,16.29
2019,290,Elektrizitätsversorgung Benken,C1,cheapest,2.3,0.75,0.5,5.64,4.85,13.29
2019,290,Elektrizitätsversorgung Benken,H7,standard,2.3,0.46153846,0.5,5.3515387,4.85,13
2019,290,Elektrizitätsversorgung Benken,H5,standard,2.3,0.8,0.5,5.69,4.85,13.34
2019,290,Elektrizitätsversorgung Benken,H1,cheapest,2.3,3.75,0.5,8.64,4.85,16.29
2019,290,Elektrizitätsversorgung Benken,H6,standard,2.3,0.24,0.5,5.13,4.85,12.78
2019,290,Elektrizitätsversorgung Benken,C4,standard,2.3,0.012,0.5,4.902,4.85,12.55
2019,290,Elektrizitätsversorgung Benken,C1,standard,2.3,0.75,0.5,5.64,4.85,13.29
2019,367,Elektrizitätswerk Andelfingen,C1,standard,2.3,0.75,0.5,5.2228127,4.5953126,12.62
2019,367,Elektrizitätswerk Andelfingen,C4,standard,2.3,1.86,0.5,3.6892,3.3135333,9.8
2019,367,Elektrizitätswerk Andelfingen,H7,standard,2.3,0.73846155,0.5,3.5093846,3.78339,10.09
2019,367,Elektrizitätswerk Andelfingen,H1,standard,2.3,3.75,0.5,7.2097173,4.2393603,14.25
2019,367,Elektrizitätswerk Andelfingen,H2,standard,2.3,2.4,0.5,5.794857,4.2165713,12.81
2019,367,Elektrizitätswerk Andelfingen,H4,standard,2.3,1.3333334,0.5,4.7640157,4.229159,11.79
2019,367,Elektrizitätswerk Andelfingen,C3,standard,2.3,2.2,0.5,4.104,3.4506667,10.35
2019,367,Elektrizitätswerk Andelfingen,H3,standard,2.3,1.3333334,0.5,3.9482539,3.9425397,10.69
2019,367,Elektrizitätswerk Andelfingen,H6,standard,2.3,0.24,0.5,2.2054944,3.7143629,8.72
2019,367,Elektrizitätswerk Andelfingen,H8,standard,2.3,0.8,0.5,4.230976,4.229262,11.26
2019,367,Elektrizitätswerk Andelfingen,C2,standard,2.3,0.2,0.5,4.6113,4.5737,11.98
2019,367,Elektrizitätswerk Andelfingen,H5,standard,2.3,0.8,0.5,3.524981,3.9812095,10.3
