period,operator,operatorLabel,category,product,aidfee,fixcosts,charge,gridusage,energy,total
2017,486,Elektrizitätswerke des Kantons Zürich EKZ,H7,cheapest,1.5,0.9230769,0.16,5.836558,5.522727,13.02
2017,486,Elektrizitätswerke des Kantons Zürich EKZ,C2,cheapest,1.5,0.2,0.16,7.444946,6.139804,15.24
2017,486,Elektrizitätswerke des Kantons Zürich EKZ,H1,cheapest,1.5,3.75,0.16,9.539727,5.8322115,17.03
2017,486,Elektrizitätswerke des Kantons Zürich EKZ,H6,cheapest,1.5,0.24,0.16,4.4714217,5.3492136,11.48
2017,486,Elektrizitätswerke des Kantons Zürich EKZ,C1,cheapest,1.5,0.75,0.16,8.026656,6.1596875,15.85
2017,486,Elektrizitätswerke des Kantons Zürich EKZ,H8,cheapest,1.5,0.8,0.16,6.790353,5.822921,14.27
2017,486,Elektrizitätswerke des Kantons Zürich EKZ,H3,cheapest,1.5,1.3333334,0.16,6.2766094,5.5591364,13.5
2017,486,Elektrizitätswerke des Kantons Zürich EKZ,H4,cheapest,1.5,1.3333334,0.16,7.2806582,5.822826,14.76
2017,486,Elektrizitätswerke des Kantons Zürich EKZ,C4,cheapest,1.5,3.024,0.16,5.0693374,4.8884506,11.62
2017,486,Elektrizitätswerke des Kantons Zürich EKZ,C5,cheapest,1.5,2.952,0.16,4.716736,5.100992,11.48
2017,486,Elektrizitätswerke des Kantons Zürich EKZ,C3,cheapest,1.5,3.68,0.16,5.7703466,5.014613,12.44
2017,486,Elektrizitätswerke des Kantons Zürich EKZ,C7,cheapest,1.5,2.04384,0.01,3.8129406,4.9837985,10.3
2017,486,Elektrizitätswerke des Kantons Zürich EKZ,H5,cheapest,1.5,0.8,0.16,5.9214063,5.5947127,13.17
2017,486,Elektrizitätswerke des Kantons Zürich EKZ,H2,cheapest,1.5,2.4,0.16,8.217897,5.811246,15.69
2017,486,Elektrizitätswerke des Kantons Zürich EKZ,C6,cheapest,1.5,2.544,0.05,4.33248,5.1282134,11.01
2017,290,Elektrizitätsversorgung Benken,H5,cheapest,1.5,0.8,0.5,5.85,4.85,12.7
2017,290,Elektrizitätsversorgung Benken,C4,cheapest,1.5,0.012,0.5,5.062,4.85,11.91
2017,290,Elektrizitätsversorgung Benken,H7,cheapest,1.5,0.46153846,0.5,5.5115385,4.85,12.36
2017,290,Elektrizitätsversorgung Benken,H1,cheapest,1.5,3.75,0.5,8.8,4.85,15.65
2017,290,Elektrizitätsversorgung Benken,C1,cheapest,1.5,0.75,0.5,5.8,4.85,12.65
2017,290,Elektrizitätsversorgung Benken,H8,cheapest,1.5,0.8,0.5,5.85,4.85,12.7
2017,290,Elektrizitätsversorgung Benken,H6,cheapest,1.5,0.24,0.5,5.29,4.85,12.14
2017,290,Elektrizitätsversorgung Benken,H3,cheapest,1.5,1.3333334,0.5,6.383333,4.85,13.23
2017,290,Elektrizitätsversorgung Benken,H2,cheapest,1.5,2.4,0.5,7.45,4.85,14.3
2017,290,Elektrizitätsversorgung Benken,C3,cheapest,1.5,0.04,0.5,5.09,4.85,11.94
2017,290,Elektrizitätsversorgung Benken,C2,cheapest,1.5,0.2,0.5,5.25,4.85,12.1
2017,290,Elektrizitätsversorgung Benken,H4,cheapest,1.5,1.3333334,0.5,6.383333,4.85,13.23
2017,367,Elektrizitätswerk Andelfingen,H2,cheapest,1.5,2.88,0.5,6.1771426,4.1197143,12.3
2017,367,Elektrizitätswerk Andelfingen,C3,cheapest,1.5,2.9,0.5,4.470667,4.3306665,10.8
2017,367,Elektrizitätswerk Andelfingen,H8,cheapest,1.5,0.96,0.5,4.2961903,4.1407022,10.44
2017,367,Elektrizitätswerk Andelfingen,H6,cheapest,1.5,0.288,0.5,2.0398858,3.2891386,7.33
2017,367,Elektrizitätswerk Andelfingen,C4,cheapest,1.5,2.37,0.5,3.8970332,4.2946334,10.19
2017,367,Elektrizitätswerk Andelfingen,H3,cheapest,1.5,1.6,0.5,4.0539684,3.666508,9.72
2017,367,Elektrizitätswerk Andelfingen,H7,cheapest,1.5,0.83076924,0.5,3.4687362,3.7630413,9.23
2017,367,Elektrizitätswerk Andelfingen,H1,cheapest,1.5,4.5,0.5,7.867262,4.1574035,14.03
2017,367,Elektrizitätswerk Andelfingen,H5,cheapest,1.5,0.96,0.5,3.5329523,3.7304618,9.26
2017,367,Elektrizitätswerk Andelfingen,H4,cheapest,1.5,1.6,0.5,4.935873,4.1405315,11.08
2017,367,Elektrizitätswerk Andelfingen,C2,cheapest,1.5,0.24,0.5,4.636,4.71035,11.35
2017,367,Elektrizitätswerk Andelfingen,C1,cheapest,1.5,0.9,0.5,5.3625,4.7460938,12.11
2017,285,Elektrizitätsgenossenschaft Marthalen,H2,cheapest,1.5,3.12,0,10.141372,5.361829,17
2017,285,Elektrizitätsgenossenschaft Marthalen,C4,cheapest,1.5,2.436,0,5.46682,4.9670467,11.94
2017,285,Elektrizitätsgenossenschaft Marthalen,H4,cheapest,1.5,1.7333333,0,8.81067,5.374319,15.68
2017,285,Elektrizitätsgenossenschaft Marthalen,H5,cheapest,1.5,1.04,0,7.0149164,5.1282773,13.64
2017,285,Elektrizitätsgenossenschaft Marthalen,H1,cheapest,1.5,4.875,0,11.997693,5.384442,18.88
2017,285,Elektrizitätsgenossenschaft Marthalen,C6,cheapest,1.5,1.744,0,4.2542443,4.9951444,10.75
2017,285,Elektrizitätsgenossenschaft Marthalen,C3,cheapest,1.5,2.92,0,6.0144,5.1029334,12.61
2017,285,Elektrizitätsgenossenschaft Marthalen,H8,cheapest,1.5,1.04,0,8.117795,5.3744216,14.99
2017,285,Elektrizitätsgenossenschaft Marthalen,H7,cheapest,1.5,0.6,0,6.9423804,5.210289,13.65
2017,285,Elektrizitätsgenossenschaft Marthalen,H3,cheapest,1.5,1.7333333,0,7.5363173,5.089905,14.13
2017,285,Elektrizitätsgenossenschaft Marthalen,C2,cheapest,1.5,0.26,0,8.86922,5.71621,16.09
2017,285,Elektrizitätsgenossenschaft Marthalen,C5,cheapest,1.5,2.112,0,4.610387,4.9670467,11.08
2017,285,Elektrizitätsgenossenschaft Marthalen,C1,cheapest,1.5,0.975,0,9.680312,5.737656,16.92
