period,operator,operatorLabel,category,product,aidfee,fixcosts,charge,gridusage,energy,total
2011,486,Elektrizitätswerke des Kantons Zürich EKZ,C4,cheapest,0.45,2.862,0,5.984039,7.7151814,14.15
2011,486,Elektrizitätswerke des Kantons Zürich EKZ,C7,cheapest,0.45,1.87432,0,3.6404445,7.1522613,11.24
2011,486,Elektrizitätswerke des Kantons Zürich EKZ,H3,cheapest,0.45,2.6666667,0,7.445257,7.3804445,15.28
2011,486,Elektrizitätswerke des Kantons Zürich EKZ,H8,cheapest,0.45,1.6,0,7.8031373,8.090633,16.34
2011,486,Elektrizitätswerke des Kantons Zürich EKZ,C5,cheapest,0.45,2.718,0,4.4727855,7.7151814,12.64
2011,486,Elektrizitätswerke des Kantons Zürich EKZ,C1,cheapest,0.45,1.5,0,9.420875,8.997313,18.87
2011,486,Elektrizitätswerke des Kantons Zürich EKZ,H6,cheapest,0.45,0.48,0,4.323249,6.761632,11.53
2011,486,Elektrizitätswerke des Kantons Zürich EKZ,H7,cheapest,0.45,1.3476923,0,6.1769915,7.266635,13.9
2011,486,Elektrizitätswerke des Kantons Zürich EKZ,H4,cheapest,0.45,2.6666667,0,8.783989,8.090378,17.32
2011,486,Elektrizitätswerke des Kantons Zürich EKZ,C2,cheapest,0.45,0.4,0,8.307928,8.94378,17.7
2011,486,Elektrizitätswerke des Kantons Zürich EKZ,C6,cheapest,0.45,2.336,0,4.134389,7.6915708,12.27
2011,486,Elektrizitätswerke des Kantons Zürich EKZ,H1,cheapest,0.45,7.5,0,13.278303,8.115645,21.85
2011,486,Elektrizitätswerke des Kantons Zürich EKZ,H2,cheapest,0.45,4.8,0,10.687862,8.0592,19.2
2011,486,Elektrizitätswerke des Kantons Zürich EKZ,C3,cheapest,0.45,3.5,0,6.748773,8.167185,15.37
2011,486,Elektrizitätswerke des Kantons Zürich EKZ,H5,cheapest,0.45,1.6,0,6.6445417,7.476227,14.57
2011,290,Elektrizitätsversorgung Benken,H7,cheapest,0.45,0.9230769,0.5,6.163077,7.27,14.38
2011,290,Elektrizitätsversorgung Benken,C1,cheapest,0.45,1.5,0.5,6.74,7.27,14.96
2011,290,Elektrizitätsversorgung Benken,H8,cheapest,0.45,1.6,0.5,6.84,7.27,15.06
2011,290,Elektrizitätsversorgung Benken,C3,cheapest,0.45,0.08,0.5,5.32,7.27,13.54
2011,290,Elektrizitätsversorgung Benken,C4,cheapest,0.45,0.024,0.5,5.264,7.27,13.48
2011,290,Elektrizitätsversorgung Benken,H2,cheapest,0.45,4.8,0.5,9.836,7.27,18.06
2011,290,Elektrizitätsversorgung Benken,H4,cheapest,0.45,2.6666667,0.5,7.9066668,7.27,16.13
2011,290,Elektrizitätsversorgung Benken,H6,cheapest,0.45,0.48,0.5,5.72,7.27,13.94
2011,290,Elektrizitätsversorgung Benken,C7,cheapest,0.45,0.0016,0.5,5.2416,7.27,13.46
2011,290,Elektrizitätsversorgung Benken,C5,cheapest,0.45,0.024,0.5,5.264,7.27,13.48
2011,290,Elektrizitätsversorgung Benken,C2,cheapest,0.45,0.4,0.5,5.64,7.27,13.86
2011,290,Elektrizitätsversorgung Benken,H1,cheapest,0.45,7.5,0.5,12.74,7.27,20.96
2011,290,Elektrizitätsversorgung Benken,H5,cheapest,0.45,1.6,0.5,6.84,7.27,15.06
2011,290,Elektrizitätsversorgung Benken,C6,cheapest,0.45,0.008,0.5,5.248,7.27,13.47
2011,290,Elektrizitätsversorgung Benken,H3,cheapest,0.45,2.6666667,0.5,7.9066668,7.27,16.13
2011,367,Elektrizitätswerk Andelfingen,H8,cheapest,0.45,1.28,0.35,7.0106726,6.7989526,14.61
2011,367,Elektrizitätswerk Andelfingen,H5,cheapest,0.45,1.28,0.35,5.02614,4.079219,9.91
2011,367,Elektrizitätswerk Andelfingen,H4,cheapest,0.45,2.1333334,0.35,7.8635616,6.7986984,15.46
2011,367,Elektrizitätswerk Andelfingen,C7,cheapest,0.45,0.010533334,0.35,2.8757591,7.4859285,11.17
2011,367,Elektrizitätswerk Andelfingen,C5,cheapest,0.45,0.158,0.35,3.1564,7.8936667,11.85
2011,367,Elektrizitätswerk Andelfingen,H1,cheapest,0.45,6,0.35,11.774171,6.8238096,19.39
2011,367,Elektrizitätswerk Andelfingen,C1,cheapest,0.45,1.2,0.35,8.507501,7.7,17.01
2011,367,Elektrizitätswerk Andelfingen,C3,cheapest,0.45,0.52666664,0.35,3.8293333,7.7246666,12.35
2011,367,Elektrizitätswerk Andelfingen,H2,cheapest,0.45,3.84,0.35,9.5160055,6.7677145,17.09
2011,367,Elektrizitätswerk Andelfingen,H7,cheapest,0.45,1.1076924,0.35,5.8068786,6.185401,12.8
2011,367,Elektrizitätswerk Andelfingen,C4,cheapest,0.45,0.158,0.35,3.1564,7.8936667,11.85
2011,367,Elektrizitätswerk Andelfingen,H6,cheapest,0.45,0.384,0.35,2.10984,0.9897657,3.9
2011,367,Elektrizitätswerk Andelfingen,H3,cheapest,0.45,2.1333334,0.35,6.6289034,6.0931745,13.52
2011,367,Elektrizitätswerk Andelfingen,C2,cheapest,0.45,0.32,0.35,7.534402,7.6468,15.98
2011,367,Elektrizitätswerk Andelfingen,C6,cheapest,0.45,0.052666668,0.35,1.542,7.9347363,10.27
2011,285,Elektrizitätsgenossenschaft Marthalen,H7,cheapest,0.45,0.50769234,0,5.1345053,7.392033,12.97
2011,285,Elektrizitätsgenossenschaft Marthalen,C6,cheapest,0.45,0.08376,0,2.438649,7.686111,10.58
2011,285,Elektrizitätsgenossenschaft Marthalen,H5,cheapest,0.45,0.88,0,5.4432383,7.233095,13.12
2011,285,Elektrizitätsgenossenschaft Marthalen,C5,cheapest,0.45,0.25128,0,2.6010134,7.6216664,10.67
2011,285,Elektrizitätsgenossenschaft Marthalen,H4,cheapest,0.45,1.4666667,0,6.220635,7.7099204,14.38
2011,285,Elektrizitätsgenossenschaft Marthalen,C2,cheapest,0.45,0.22,0,5.239,8.3725,14.06
2011,285,Elektrizitätsgenossenschaft Marthalen,H2,cheapest,0.45,2.64,0,7.384286,7.6857142,15.52
2011,285,Elektrizitätsgenossenschaft Marthalen,H6,cheapest,0.45,0.264,0,4.6219716,6.7199287,11.79
2011,285,Elektrizitätsgenossenschaft Marthalen,H3,cheapest,0.45,1.4666667,0,6.000159,7.15873,13.61
2011,285,Elektrizitätsgenossenschaft Marthalen,C1,cheapest,0.45,0.825,0,5.860625,8.4140625,14.72
2011,285,Elektrizitätsgenossenschaft Marthalen,C4,cheapest,0.45,0.1092,0,2.6386166,7.6216664,10.71
2011,285,Elektrizitätsgenossenschaft Marthalen,H1,cheapest,0.45,4.125,0,8.886815,7.729539,17.07
2011,285,Elektrizitätsgenossenschaft Marthalen,H8,cheapest,0.45,0.88,0,5.6340475,7.7101192,13.79
