period,operator,operatorLabel,category,product,aidfee,fixcosts,charge,gridusage,energy,total
2010,486,Elektrizitätswerke des Kantons Zürich EKZ,H2,cheapest,0.45,4.8,0,10.102257,6.527057,17.08
2010,486,Elektrizitätswerke des Kantons Zürich EKZ,H5,cheapest,0.45,1.6,0,6.1468344,5.907874,12.51
2010,486,Elektrizitätswerke des Kantons Zürich EKZ,C4,cheapest,0.45,2.862,0,5.50069,6.800655,12.75
2010,486,Elektrizitätswerke des Kantons Zürich EKZ,C3,cheapest,0.45,3.5,0,6.2488,7.265025,13.97
2010,486,Elektrizitätswerke des Kantons Zürich EKZ,H6,cheapest,0.45,0.48,0,3.8760045,5.1533923,9.48
2010,486,Elektrizitätswerke des Kantons Zürich EKZ,C2,cheapest,0.45,0.4,0,7.77406,7.46658,15.69
2010,486,Elektrizitätswerke des Kantons Zürich EKZ,C1,cheapest,0.45,1.5,0,8.862812,7.5234375,16.83
2010,486,Elektrizitätswerke des Kantons Zürich EKZ,C7,cheapest,0.45,1.92648,0,3.3033795,6.1608152,9.91
2010,486,Elektrizitätswerke des Kantons Zürich EKZ,H8,cheapest,0.45,1.6,0,7.280243,6.560443,14.29
2010,486,Elektrizitätswerke des Kantons Zürich EKZ,C6,cheapest,0.45,2.4,0,3.80955,6.8504977,11.11
2010,486,Elektrizitätswerke des Kantons Zürich EKZ,C5,cheapest,0.45,2.79,0,4.14547,6.800655,11.4
2010,486,Elektrizitätswerke des Kantons Zürich EKZ,H7,cheapest,0.45,1.3476923,0,5.6894484,5.7453356,11.89
2010,486,Elektrizitätswerke des Kantons Zürich EKZ,H3,cheapest,0.45,2.6666667,0,6.930143,5.806143,13.19
2010,486,Elektrizitätswerke des Kantons Zürich EKZ,H4,cheapest,0.45,2.6666667,0,8.239772,6.5601716,15.25
2010,486,Elektrizitätswerke des Kantons Zürich EKZ,H1,cheapest,0.45,7.5,0,12.636384,6.587009,19.68
2010,290,Elektrizitätsversorgung Benken,H4,cheapest,0.45,2.6666667,0.53,8.772667,5.877,15.63
2010,290,Elektrizitätsversorgung Benken,H1,cheapest,0.45,7.5,0.53,13.606,5.877,20.47
2010,290,Elektrizitätsversorgung Benken,H5,cheapest,0.45,1.6,0.53,7.306,5.88,14.17
2010,290,Elektrizitätsversorgung Benken,H8,cheapest,0.45,1.6,0.53,7.71,5.88,14.57
2010,290,Elektrizitätsversorgung Benken,H3,cheapest,0.45,2.6666667,0.53,8.771667,5.877,15.63
2010,290,Elektrizitätsversorgung Benken,H6,cheapest,0.45,0.48,0.53,6.586,5.88,13.45
2010,290,Elektrizitätsversorgung Benken,H2,cheapest,0.45,4.8,0.53,10.906,5.877,17.77
2010,290,Elektrizitätsversorgung Benken,H7,cheapest,0.45,0.9230769,0.53,7.033077,5.88,13.89
2010,367,Elektrizitätswerk Andelfingen,H5,cheapest,0.45,1.28,0,4.866133,3.2992191,8.62
2010,367,Elektrizitätswerk Andelfingen,H4,cheapest,0.45,2.1333334,0,7.8435555,5.498698,13.79
2010,367,Elektrizitätswerk Andelfingen,H8,cheapest,0.45,1.28,0,6.990667,5.4989524,12.94
2010,367,Elektrizitätswerk Andelfingen,H2,cheapest,0.45,3.84,0,9.496,5.4677143,15.42
2010,367,Elektrizitätswerk Andelfingen,H3,cheapest,0.45,2.1333334,0,6.608889,4.7931747,11.85
2010,367,Elektrizitätswerk Andelfingen,C7,cheapest,0.45,0.010533334,0,2.8557591,6.1859283,9.5
2010,367,Elektrizitätswerk Andelfingen,C3,cheapest,0.45,0.52666664,0,3.8093333,6.424667,10.68
2010,367,Elektrizitätswerk Andelfingen,C4,cheapest,0.45,0.158,0,3.1364,6.5936666,10.18
2010,367,Elektrizitätswerk Andelfingen,H6,cheapest,0.45,0.384,0,1.73984,0.9897657,3.18
2010,367,Elektrizitätswerk Andelfingen,H1,cheapest,0.45,6,0,11.754167,5.5238094,17.72
2010,367,Elektrizitätswerk Andelfingen,C6,cheapest,0.45,0.052666668,0,2.262,6.634736,9.34
2010,367,Elektrizitätswerk Andelfingen,C5,cheapest,0.45,0.158,0,3.1364,6.5936666,10.18
2010,367,Elektrizitätswerk Andelfingen,C2,cheapest,0.45,0.32,0,7.5144,7.25875,15.22
2010,367,Elektrizitätswerk Andelfingen,H7,cheapest,0.45,1.1076924,0,5.786863,4.8854012,11.13
2010,367,Elektrizitätswerk Andelfingen,C1,cheapest,0.45,1.2,0,8.4875,7.3210936,16.26
2010,285,Elektrizitätsgenossenschaft Marthalen,C4,cheapest,0.45,0.148,0,1.9101666,6.293733,8.65
2010,285,Elektrizitätsgenossenschaft Marthalen,H2,cheapest,0.45,0,0,4.969143,5.842,11.26
2010,285,Elektrizitätsgenossenschaft Marthalen,H5,cheapest,0.45,0,0,4.751886,5.4502287,10.65
2010,285,Elektrizitätsgenossenschaft Marthalen,C6,cheapest,0.45,0.2,0,1.7848889,6.277753,8.51
2010,285,Elektrizitätsgenossenschaft Marthalen,C5,cheapest,0.45,0,0,1.3621666,6.293733,8.1
2010,285,Elektrizitätsgenossenschaft Marthalen,H7,cheapest,0.45,0,0,4.828176,5.848978,11.13
2010,285,Elektrizitätsgenossenschaft Marthalen,C2,cheapest,0.45,0.22,0,5.9188,6.546867,12.92
2010,285,Elektrizitätsgenossenschaft Marthalen,H6,cheapest,0.45,0,0,4.5055656,5.4169884,10.38
2010,285,Elektrizitätsgenossenschaft Marthalen,C1,cheapest,0.45,0.825,0,6.54375,6.5246873,13.51
2010,285,Elektrizitätsgenossenschaft Marthalen,C7,cheapest,0.45,0.1138,0,1.6713376,5.952009,8.07
2010,285,Elektrizitätsgenossenschaft Marthalen,H1,cheapest,0.45,4.125,0,9.155179,5.87378,15.48
2010,285,Elektrizitätsgenossenschaft Marthalen,H3,cheapest,0.45,0,0,4.7161903,5.386,10.56
2010,285,Elektrizitätsgenossenschaft Marthalen,H8,cheapest,0.45,0,0,4.9808574,5.8833857,11.31
2010,285,Elektrizitätsgenossenschaft Marthalen,H4,cheapest,0.45,0,0,4.980762,5.8829207,11.31
2010,285,Elektrizitätsgenossenschaft Marthalen,C3,cheapest,0.45,0.49333334,0,2.2882638,6.5316668,9.27
2010,336,Elektrizitätsversorgung Rheinau,H7,cheapest,0.45,0.64615387,0.7,5.8661537,5.96,12.98
2010,336,Elektrizitätsversorgung Rheinau,H5,cheapest,0.45,1.12,0.7,6.34,5.96,13.45
2010,336,Elektrizitätsversorgung Rheinau,C1,cheapest,0.45,1.05,0.7,6.27,5.96,13.38
2010,336,Elektrizitätsversorgung Rheinau,H1,cheapest,0.45,5.25,0.7,10.47,5.96,17.58
2010,336,Elektrizitätsversorgung Rheinau,C3,cheapest,0.45,0.848,0.7,6.068,5.96,13.18
2010,336,Elektrizitätsversorgung Rheinau,C2,cheapest,0.45,0.28,0.7,5.5,5.96,12.61
2010,336,Elektrizitätsversorgung Rheinau,H6,cheapest,0.45,0.336,0.7,5.556,5.96,12.67
2010,336,Elektrizitätsversorgung Rheinau,C4,cheapest,0.45,0.408,0.7,5.628,5.96,12.74
2010,336,Elektrizitätsversorgung Rheinau,H3,cheapest,0.45,1.8666667,0.7,7.0866666,5.96,14.2
2010,336,Elektrizitätsversorgung Rheinau,H2,cheapest,0.45,3.36,0.7,8.58,5.96,15.69
2010,336,Elektrizitätsversorgung Rheinau,H8,cheapest,0.45,1.12,0.7,6.34,5.96,13.45
2010,336,Elektrizitätsversorgung Rheinau,H4,cheapest,0.45,1.8666667,0.7,7.0866666,5.96,14.2
2010,587,Gemeindewerke Dietlikon,H5,cheapest,0.45,1.12,0.45,4.8326144,6.0592656,11.79
2010,587,Gemeindewerke Dietlikon,H2,cheapest,0.45,3.36,0.45,7.181857,6.6947427,14.77
2010,587,Gemeindewerke Dietlikon,C7,cheapest,0.45,1.44372,0.45,2.9020207,6.6526623,10.45
2010,587,Gemeindewerke Dietlikon,H6,cheapest,0.45,0.336,0.45,3.5572844,5.33878,9.8
2010,587,Gemeindewerke Dietlikon,H3,cheapest,0.45,1.8666667,0.45,5.5988097,5.9548573,12.45
2010,587,Gemeindewerke Dietlikon,C5,cheapest,0.45,2.0844,0.45,3.48126,7.043307,11.42
2010,587,Gemeindewerke Dietlikon,H7,cheapest,0.45,0.64615387,0.45,4.538478,6.147414,11.59
2010,587,Gemeindewerke Dietlikon,C6,cheapest,0.45,1.7968,0.45,3.3057334,7.1340446,11.34
2010,587,Gemeindewerke Dietlikon,C2,cheapest,0.45,0.28,0.45,5.62845,7.65899,14.19
2010,587,Gemeindewerke Dietlikon,H8,cheapest,0.45,1.12,0.45,5.4433928,6.7290072,13.07
2010,587,Gemeindewerke Dietlikon,H4,cheapest,0.45,1.8666667,0.45,6.032738,6.728729,13.66
2010,587,Gemeindewerke Dietlikon,H1,cheapest,0.45,5.25,0.45,8.731853,6.7562723,16.39
2010,587,Gemeindewerke Dietlikon,C1,cheapest,0.45,1.05,0.45,6.290781,7.717344,14.91
2010,587,Gemeindewerke Dietlikon,C3,cheapest,0.45,1.808,0.45,6.012133,7.4821334,14.39
2010,587,Gemeindewerke Dietlikon,C4,cheapest,0.45,1.4256,0.45,5.4374065,7.043307,13.38
2010,429,Elektrizitätswerk Embrach,H5,cheapest,0.45,1.6,0,5.754,5.5583334,11.76
2010,429,Elektrizitätswerk Embrach,C4,cheapest,0.45,2.862,0,5.2138834,6.417208,12.08
2010,429,Elektrizitätswerk Embrach,C2,cheapest,0.45,0.8,0,7.258904,7.385839,15.1
2010,429,Elektrizitätswerk Embrach,C5,cheapest,0.45,2.79,0,3.9384832,6.417208,10.81
2010,429,Elektrizitätswerk Embrach,C3,cheapest,0.45,3.5,0,5.918722,6.8553057,13.23
2010,429,Elektrizitätswerk Embrach,H7,cheapest,0.45,0.9230769,0,5.5387526,5.7698517,11.76
