period,operator,operatorLabel,category,product,aidfee,fixcosts,charge,gridusage,energy,total
2009,486,Elektrizitätswerke des Kantons Zürich EKZ,C4,cheapest,0.45,2.862,0,5.2173185,6.4228406,12.09
2009,486,Elektrizitätswerke des Kantons Zürich EKZ,C1,cheapest,0.45,1.5,0,8.392656,7.1054688,15.95
2009,486,Elektrizitätswerke des Kantons Zürich EKZ,C6,cheapest,0.45,2.4,0,3.6201305,6.4699144,10.54
2009,486,Elektrizitätswerke des Kantons Zürich EKZ,H1,cheapest,0.45,7.5,0,11.956585,6.221064,18.63
2009,486,Elektrizitätswerke des Kantons Zürich EKZ,C7,cheapest,0.45,1.92648,0,3.1420808,5.8185477,9.41
2009,486,Elektrizitätswerke des Kantons Zürich EKZ,C2,cheapest,0.45,0.4,0,7.36439,7.05177,14.86
2009,486,Elektrizitätswerke des Kantons Zürich EKZ,H5,cheapest,0.45,1.6,0,5.8275657,5.579659,11.86
2009,486,Elektrizitätswerke des Kantons Zürich EKZ,H3,cheapest,0.45,2.6666667,0,6.567357,5.483579,12.5
2009,486,Elektrizitätswerke des Kantons Zürich EKZ,H8,cheapest,0.45,1.6,0,6.898007,6.195974,13.55
2009,486,Elektrizitätswerke des Kantons Zürich EKZ,H6,cheapest,0.45,0.48,0,3.682893,4.8670926,9
2009,486,Elektrizitätswerke des Kantons Zürich EKZ,H7,cheapest,0.45,1.3476923,0,5.3955903,5.4261503,11.28
2009,486,Elektrizitätswerke des Kantons Zürich EKZ,C3,cheapest,0.45,3.5,0,5.9238667,6.8614125,13.23
2009,486,Elektrizitätswerke des Kantons Zürich EKZ,H2,cheapest,0.45,4.8,0,9.563243,6.164443,16.17
2009,486,Elektrizitätswerke des Kantons Zürich EKZ,H4,cheapest,0.45,2.6666667,0,7.804229,6.1957173,14.45
2009,486,Elektrizitätswerke des Kantons Zürich EKZ,C5,cheapest,0.45,2.79,0,3.9373884,6.4228406,10.81
2009,290,Elektrizitätsversorgung Benken,H8,cheapest,0.45,1.6,0.5,7.39,5.55,13.89
2009,290,Elektrizitätsversorgung Benken,H1,cheapest,0.45,7.5,0.5,13.29,5.55,19.79
2009,290,Elektrizitätsversorgung Benken,H3,cheapest,0.45,2.6666667,0.5,8.456667,6.35,15.76
2009,290,Elektrizitätsversorgung Benken,H4,cheapest,0.45,2.6666667,0.5,8.456667,5.55,14.96
2009,290,Elektrizitätsversorgung Benken,H7,cheapest,0.45,0.9230769,0.5,6.713077,5.55,13.21
2009,290,Elektrizitätsversorgung Benken,H6,cheapest,0.45,0.48,0.5,6.27,5.55,12.77
2009,290,Elektrizitätsversorgung Benken,H2,cheapest,0.45,4.8,0.5,10.59,5.55,17.09
2009,290,Elektrizitätsversorgung Benken,H5,cheapest,0.45,1.6,0.5,6.99,5.55,13.49
2009,285,Elektrizitätsgenossenschaft Marthalen,C7,cheapest,0.45,0.10836667,0,1.8696731,5.7437177,8.06
2009,285,Elektrizitätsgenossenschaft Marthalen,H6,cheapest,0.45,0.264,0,5.069566,4.624317,10.14
2009,285,Elektrizitätsgenossenschaft Marthalen,H5,cheapest,0.45,0.88,0,5.9318857,5.229324,11.61
2009,285,Elektrizitätsgenossenschaft Marthalen,C6,cheapest,0.45,0.19333333,0,1.9956666,6.175261,8.63
2009,285,Elektrizitätsgenossenschaft Marthalen,C5,cheapest,0.45,0.2708,0,2.0654,6.1256666,8.65
2009,285,Elektrizitätsgenossenschaft Marthalen,H2,cheapest,0.45,2.64,0,7.909143,5.808943,14.17
2009,285,Elektrizitätsgenossenschaft Marthalen,C1,cheapest,0.45,1.1,0,6.71875,6.7164063,13.89
2009,285,Elektrizitätsgenossenschaft Marthalen,H3,cheapest,0.45,1.4666667,0,6.482857,5.1365237,12.07
2009,285,Elektrizitätsgenossenschaft Marthalen,H1,cheapest,0.45,4.125,0,9.415178,5.8654466,15.74
2009,285,Elektrizitätsgenossenschaft Marthalen,C2,cheapest,0.45,0.22,0,5.8188,6.68155,12.95
2009,285,Elektrizitätsgenossenschaft Marthalen,H8,cheapest,0.45,0.88,0,6.160857,5.837886,12.45
2009,285,Elektrizitätsgenossenschaft Marthalen,C3,cheapest,0.45,0.48333332,0,2.3153334,6.326,9.1
2009,285,Elektrizitätsgenossenschaft Marthalen,C4,cheapest,0.45,0.145,0,1.9396,5.9793334,8.37
2009,285,Elektrizitätsgenossenschaft Marthalen,H4,cheapest,0.45,1.4666667,0,6.7474284,5.837603,13.04
2009,336,Elektrizitätsversorgung Rheinau,H5,cheapest,0.45,1.12,0.7,6.49,5.63,13.27
2009,336,Elektrizitätsversorgung Rheinau,H1,cheapest,0.45,5.25,0.7,10.62,5.63,17.4
2009,336,Elektrizitätsversorgung Rheinau,H4,cheapest,0.45,1.8666667,0.7,7.2366667,5.63,14.02
2009,336,Elektrizitätsversorgung Rheinau,C1,cheapest,0.45,1.05,0.7,6.42,5.63,13.2
2009,336,Elektrizitätsversorgung Rheinau,H6,cheapest,0.45,0.336,0.7,5.706,5.63,12.49
2009,336,Elektrizitätsversorgung Rheinau,C2,cheapest,0.45,0.28,0.7,5.65,5.63,12.43
2009,336,Elektrizitätsversorgung Rheinau,C4,cheapest,0.45,0.96,0.7,6.33,5.63,13.11
2009,336,Elektrizitätsversorgung Rheinau,C3,cheapest,0.45,0.848,0.7,6.218,5.63,13
2009,336,Elektrizitätsversorgung Rheinau,H7,cheapest,0.45,0.64615387,0.7,6.016154,5.63,12.8
2009,336,Elektrizitätsversorgung Rheinau,H2,cheapest,0.45,3.36,0.7,8.73,5.63,15.51
2009,336,Elektrizitätsversorgung Rheinau,H8,cheapest,0.45,1.12,0.7,6.49,5.63,13.27
2009,336,Elektrizitätsversorgung Rheinau,H3,cheapest,0.45,1.8666667,0.7,7.2366667,5.63,14.02
2009,587,Gemeindewerke Dietlikon,C3,cheapest,0.45,1.8,0.45,5.9166,7.1406665,13.96
